gameid,leagueid,hometeamid,awayteamid,year,homegoals,awaygoals
883,2,95,113,2016,3,2
884,2,100,107,2016,2,2
885,2,99,110,2016,2,1
886,2,109,112,2016,5,1
887,2,108,94,2016,1,0
888,2,101,106,2016,1,0
889,2,98,96,2016,3,0
890,2,111,103,2016,0,0
891,2,106,99,2016,3,1
892,2,112,100,2016,0,2
893,2,113,104,2016,1,3
894,2,102,96,2016,2,1
895,2,97,101,2016,2,0
896,2,107,109,2016,1,0
897,2,110,98,2016,1,2
898,2,95,105,2016,1,0
899,2,94,111,2016,2,1
900,2,103,108,2016,1,0
901,2,99,113,2016,1,5
902,2,109,110,2016,0,0
903,2,98,103,2016,2,0
904,2,100,102,2016,2,0
905,2,108,97,2016,0,0
906,2,111,112,2016,3,3
907,2,104,94,2016,1,0
908,2,96,106,2016,2,0
909,2,101,95,2016,2,3
910,2,105,107,2016,2,1
911,2,106,108,2016,2,1
912,2,97,111,2016,0,1
913,2,95,109,2016,3,0
914,2,102,101,2016,0,3
915,2,110,100,2016,0,0
916,2,112,104,2016,0,1
917,2,107,99,2016,1,1
918,2,103,96,2016,1,3
919,2,113,105,2016,1,2
920,2,94,98,2016,2,1
921,2,98,102,2016,5,0
922,2,104,106,2016,3,1
923,2,111,95,2016,1,3
924,2,105,112,2016,4,0
925,2,108,113,2016,2,1
926,2,101,107,2016,1,2
927,2,109,97,2016,0,0
928,2,99,103,2016,1,2
929,2,96,110,2016,2,4
930,2,100,94,2016,3,2
931,2,95,99,2016,4,0
932,2,98,110,2016,2,1
933,2,111,113,2016,3,2
934,2,100,104,2016,0,1
935,2,114,105,2016,2,2
936,2,107,96,2016,3,4
937,2,97,115,2016,1,0
938,2,109,106,2016,2,0
939,2,108,102,2016,0,1
940,2,101,116,2016,3,1
941,2,96,98,2016,0,1
942,2,105,111,2016,4,2
943,2,106,100,2016,1,1
944,2,102,107,2016,2,1
945,2,104,114,2016,2,1
946,2,113,97,2016,5,1
947,2,99,108,2016,2,0
948,2,116,95,2016,2,2
949,2,115,101,2016,1,3
950,2,110,109,2016,1,0
951,2,98,104,2016,3,1
952,2,100,105,2016,0,3
953,2,97,116,2016,2,1
954,2,109,96,2016,1,1
955,2,111,99,2016,0,1
956,2,95,102,2016,3,2
957,2,107,113,2016,2,1
958,2,114,106,2016,1,2
959,2,108,115,2016,2,1
960,2,102,111,2016,0,1
961,2,96,114,2016,3,0
962,2,105,97,2016,3,1
963,2,99,109,2016,1,2
964,2,104,101,2016,2,0
965,2,113,108,2016,0,0
966,2,116,107,2016,3,0
967,2,115,100,2016,1,1
968,2,106,98,2016,2,1
969,2,110,95,2016,1,0
970,2,111,96,2016,2,0
971,2,97,102,2016,2,0
972,2,109,104,2016,2,1
973,2,108,106,2016,0,2
974,2,101,105,2016,0,0
975,2,98,116,2016,4,0
976,2,114,113,2016,0,0
977,2,95,115,2016,4,0
978,2,99,110,2016,2,2
979,2,107,100,2016,0,1
980,2,100,98,2016,0,1
981,2,105,109,2016,2,0
982,2,113,95,2016,3,1
983,2,104,99,2016,1,0
984,2,101,114,2016,1,1
985,2,106,97,2016,1,1
986,2,96,108,2016,2,0
987,2,110,111,2016,0,0
988,2,115,107,2016,1,3
989,2,116,102,2016,2,1
990,2,114,109,2016,0,2
991,2,99,96,2016,0,3
992,2,108,98,2016,0,3
993,2,102,100,2016,1,1
994,2,107,105,2016,1,0
995,2,97,101,2016,0,1
996,2,116,115,2016,2,1
997,2,113,110,2016,2,1
998,2,111,104,2016,4,3
999,2,95,106,2016,2,1
1000,2,105,95,2016,1,3
1001,2,114,102,2016,1,1
